"#";"Team";"Punktzahl";"Zeit";"Punkte (A)";"Zeit (A)";"Punkte (B)";"Zeit (B)";"Punkte (3)";"Zeit (3)"
"1";"Robo M.S.";"721";"668";"125";"387";"306";"445";"415";"223"
"2";"Kurzschluss";"650";"416";"370";"161";"280";"255";"null";"null"
"3";"werbefrei";"585";"661";"281";"350";"304";"311";"200";"258"
"4";"Robo_Orwell_Junior";"465";"699";"135";"449";"110";"267";"330";"250"
"5";"Hephaestos";"455";"879";"145";"440";"250";"474";"205";"405"
"6";"Hier könnte Ihre Werbung stehen";"428";"817";"158";"337";"270";"480";"null";"null"
"7";"MOLQ";"395";"578";"310";"283";"85";"295";"null";"null"
"8";"Teetrinker";"390";"662";"165";"195";"139";"409";"225";"467"
"9";"i-bots 7";"387";"960";"95";"480";"292";"480";"null";"null"
"10";"FlitziBlitzi";"377";"859";"50";"480";"97";"411";"280";"448"
"11";"RoboBärbel";"295";"559";"5";"195";"5";"338";"290";"364"
"12";"Ei-Bot 31-er";"291";"823";"134";"348";"115";"476";"157";"475"
"13";"Luby";"222";"713";"137";"233";"85";"480";"null";"null"
"14";"ArcheRescue";"200";"665";"25";"309";"175";"356";"null";"null"
"15";"MaJo";"190";"525";"125";"289";"65";"236";"null";"null"
"16";"DB";"124";"792";"45";"312";"79";"480";"null";"null"
"17";"Börk";"118";"628";"48";"385";"70";"243";"null";"null"
"18";"CFvS - Team 1";"70";"792";"20";"480";"50";"312";"null";"null"
"19";"AvH Rescue 1";"55";"960";"10";"480";"45";"480";"null";"null"
"20";"Dark Knight";"45";"711";"5";"243";"40";"468";"null";"null"
"21";"AvH Rescue 2";"40";"514";"5";"259";"35";"255";"null";"null"
"22";"CFvS - Team 2";"10";"456";"5";"231";"5";"225";"null";"null"
