"#";"Team";"Punktzahl";"Zeit";"Punkte (C)";"Zeit (C)";"Punkte (D)";"Zeit (D)";"Punkte (3)";"Zeit (3)"
"1";"Ei-Bot 42";"754";"278";"386";"146";"368";"132";"326";"195"
"2";"Sabine";"728";"280";"290";"117";"370";"111";"358";"169"
"3";"i-bots 2";"706";"915";"380";"435";"326";"480";"284";"480"
"4";"Ei-Bot 2";"484";"958";"212";"480";"251";"479";"233";"479"
"5";"Deutsch-Russisches-Bündnis";"462";"960";"70";"480";"175";"480";"287";"480"
"6";"tux04";"457";"960";"195";"480";"120";"441";"262";"480"
"7";"HAG Rescue";"437";"960";"5";"480";"215";"480";"222";"480"
"8";"tux01";"425";"960";"130";"441";"203";"480";"222";"480"
"9";"HarzFighters";"376";"956";"75";"476";"50";"251";"301";"480"
"10";"RoboT";"367";"805";"50";"480";"117";"375";"250";"430"
"11";"Robotaika";"363";"817";"138";"337";"85";"480";"225";"480"
"12";"O-Pipon-Na-Piwin";"341";"643";"75";"319";"134";"277";"207";"366"
"13";"Iceberg Rescue";"329";"506";"90";"349";"85";"480";"239";"157"
"14";"Robo_Orwell_2";"297";"719";"190";"386";"107";"333";"60";"220"
"15";"GehMirNichtAufDieKetten";"275";"960";"105";"480";"170";"480";"85";"463"
"16";"Technology";"256";"960";"139";"480";"45";"330";"117";"480"
"17";"Berlin Eagles Rescue";"215";"960";"100";"480";"115";"480";"45";"477"
"18";"Lifeline";"210";"947";"80";"467";"100";"468";"110";"479"
"19";"Ei-Bot 1";"205";"839";"90";"392";"115";"447";"75";"479"
"20";"dataline";"185";"923";"85";"480";"100";"443";"5";"455"
"21";"BCCJ";"170";"930";"62";"480";"70";"450";"100";"480"
"22";"Gideon";"155";"848";"20";"480";"5";"310";"135";"368"
"23";"HeadMachine";"150";"822";"85";"467";"65";"355";"45";"480"
"24";"Robo_Orwell";"105";"452";"5";"134";"35";"239";"70";"213"
"25";"Team";"90";"759";"30";"299";"15";"335";"60";"460"
"26";"Ernie";"85";"960";"50";"480";"35";"480";"5";"480"
"27";"Jesus und Ginger";"80";"456";"20";"125";"55";"227";"25";"229"
"28";"Camera Tape";"40";"337";"20";"185";"20";"152";"0";"315"
"29";"Ölf";"0";"0";"null";"null";"null";"null";"null";"null"
"29";"Schwarzfahrer";"0";"0";"0";"480";"0";"0";"null";"null"
"29";"square(-1)";"0";"0";"null";"null";"null";"null";"null";"null"
"29";"pi=e=3";"0";"0";"null";"null";"null";"null";"null";"null"
